name,full_name,birthplace,age,reign,cod,era
ELAGABALUS,marcvs avrelivs antoninvs avgvstvs,"Emesa, Syria",19,4,Assassination,Principate
DOMITIAN,titvs flavivs caesar domitianvs avgvstvs,"Rome, Italia",45,15,Assassination,Principate
DIOCLETIAN,caesar gaivs avrelivs valerivs diocletianvs avgvstvs,"Salona, Dalmatian",67,21,Natural Causes,Dominate
DIDIUS JULIANUS,caesar marcvs didivs severvs ivlianvs avgvstvs,"Milan, Italia",60,0,Execution,Principate
CONSTANTIUS I,caesar gaivs flavivs valerivs constantivs avgvstvs,"Dardania, Moesia",56,1,Natural Causes,Dominate
CONSTANTINE THE GREAT,caesar flavivs valerivs avrelivs constantinvs avgvstvs,"Naissus, Moesia Superior",65,31,Natural Causes,Dominate
CONSTANTINE II,caesar flavivs clavdivs constantinvs avgvstvs,"Arelate, Gallia Narbonensis",24,3,Execution,Dominate
CONSTANS,caesar flavivs ivlivs constans avgvstvs,"Unknown, Moesia",30,13,Assassination,Dominate
CONSANTIUS II,caesar flavivs ivlivs constantivs avgvstvs,"Sirmium, Pannonia",44,24,Natural Causes,Dominate
COMMODUS,caesar marcvs avrelivs commodvs antoninvs avgvstvs,"Lanuvium, Italia",31,15,Assassination,Principate
CLAUDIUS GOTHICUS,caesar marcvs avrelivs clavdivs avgvstvs,"Sirmium, Pannonia",57,2,Natural Causes,Principate
CLAUDIUS,tiberivs clavdivs caesar avgvstvs germanicvs,"Lugdunum, Gallia Lugdunensis",45,13,Assassination,Principate
CARUS,caesar marcvs avrelivs carvs avgvstvs,"Narbo, Gallia Narbonensis",53,1,Natural Causes,Principate
CARINUS,caesar marcvs avrelivs carinvs avgvstvs,Unknown,Unknown,2,Died in Battle,Principate
CARACALLA,caesar marcvs avrelivs severvs antoninvs pivs avgvstvs,"Lugdunum, Gallia Lugdunensis",29,19,Assassination,Principate
CALIGULA,gaivs ivlivs caesar avgvstvs germanicvs,"Antitum, Italia",29,4,Assassination,Principate
BALBINUS,caesar decimvs caelivs calvinvs balbinvs pivs avgvstvs,Unknown,60,0,Assassination,Principate
AURELIAN,caesar lvcivs domitivs avrelianvs avgvstvs,"Sirmium, Pannonia",61,5,Assassination,Principate
ANTONIUS PIUS,caesar titvs aelivs hadrianvs antoninvs avgvstvs pivs,"Lanuvium, Italia",75,23,Natural Causes,Principate
AEMILIAN,caesar marcvs aemilivs aemilianvs avgvstvs,"Unknown, Africa",46,0,Assassination,Principate
